Ref,Val,Package,PosX,PosY,Rot,Side
"G***","LOGO","pcb way logo",-42.200000,35.529000,180.000000,bottom
"C1","100nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",2.625000,22.279000,0.000000,top
"C2","100nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",29.825000,1.829000,0.000000,top
"D1","1N4148","D_DO-35_SOD27_P10.16mm_Horizontal",3.450000,19.579000,-90.000000,top
"J1","PSG03463","DIN5",10.750000,33.779000,180.000000,top
"J2","PSG03463","DIN5",39.650000,33.779000,180.000000,top
"J3","AudioJack4","PJ320A",51.350000,32.829000,0.000000,top
"J4","AudioJack4","PJ320A",22.400000,32.829000,0.000000,top
"J5","PSG03463","DIN5",68.550000,33.779000,180.000000,top
"J6","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",37.395000,1.854000,90.000000,top
"J7","AudioJack4","PJ320A",80.250000,32.829000,0.000000,top
"Q1","2N3904","TO-92_Inline_Wide",44.725000,14.689000,90.000000,top
"Q2","2N3904","TO-92_Inline_Wide",38.050000,14.654000,90.000000,top
"Q3","2N3904","TO-92_Inline_Wide",70.225000,14.589000,90.000000,top
"Q4","2N3904","TO-92_Inline_Wide",63.500000,14.589000,90.000000,top
"R1","4K7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",48.600000,19.679000,-90.000000,top
"R2","220r","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",20.150000,22.429000,0.000000,top
"R3","220r","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",52.000000,9.479000,90.000000,top
"R4","4K7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",33.350000,19.729000,-90.000000,top
"R5","4K7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",26.350000,9.479000,90.000000,top
"R6","100K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",29.800000,9.479000,90.000000,top
"R7","220r","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",15.500000,6.829000,180.000000,top
"R8","220r","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",22.750000,19.679000,-90.000000,top
"R9","4K7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",19.350000,9.479000,90.000000,top
"R10","4K7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",77.350000,19.579000,-90.000000,top
"R11","220r","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",84.250000,9.429000,90.000000,top
"R12","220r","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",80.650000,19.579000,-90.000000,top
"R13","4K7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",74.050000,19.579000,-90.000000,top
"R14","4K7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",55.400000,9.429000,90.000000,top
"R15","100K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",58.850000,9.429000,90.000000,top
"TP1","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",55.150000,3.379000,0.000000,top
"TP2","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",50.800000,3.379000,0.000000,top
"TP3","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",59.650000,3.379000,0.000000,top
"TP4","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",67.850000,3.479000,0.000000,top
"TP5","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",45.375000,9.004000,0.000000,top
"TP6","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",72.025000,3.529000,0.000000,top
"U1","6N138","DIP-8_W7.62mm_Socket_LongPads",6.800000,18.229000,0.000000,top
